code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004549,Wandsworth 027D,Wandsworth,0.0,0.0,2.0,0.0,1.0,2.0,14.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16604212,1.5579368e-05,4.5073207e-09,2.826778e-06,1.6931510999999998e-07,0.0,1.7155008e-11
E01004550,Wandsworth 017D,Wandsworth,0.0,2.0,1.0,0.0,2.0,4.0,9.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004551,Wandsworth 012E,Wandsworth,0.0,2.0,34.0,0.0,52.0,10.0,53.0,11.0,1.0,10.0,8.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,4.133498e-09,6.9536518e-15,0.0,0.023021457999999998,2.4415174e-08,1.0,2.888705e-07,5.934625e-09
E01004552,Wandsworth 008C,Wandsworth,1.0,1.0,58.0,0.0,75.0,6.0,56.0,2.0,1.0,22.0,22.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.00013077306999999998,3.3106435e-06,0.0,6.585346500000001e-06,4.5231211999999994e-05,0.3860699,3.3943527e-07
E01004553,Wandsworth 015A,Wandsworth,0.0,4.0,1.0,0.0,4.0,4.0,15.0,1.0,3.0,10.0,8.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.005727197,0.00021844392000000003,1.4743084e-07,1.0,2.4048765e-07,3.3559888000000003e-07,1.0307567000000001e-07,0.0
E01004554,Wandsworth 009A,Wandsworth,0.0,0.0,0.0,0.0,1.0,4.0,15.0,2.0,2.0,22.0,16.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,7.731293999999999e-05,0.0,0.00015019563,0.06832769999999999,0.03231491,0.14555837,1.0,0.028928336000000002
E01004555,Wandsworth 017E,Wandsworth,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004556,Wandsworth 009B,Wandsworth,0.0,2.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9059604e-11,3.1049236000000005e-08,4.469359999999999e-09,3.302574e-09,9.970487e-08,1.1327853000000002e-12,0.0
E01004557,Wandsworth 015B,Wandsworth,0.0,5.0,4.0,0.0,24.0,1.0,29.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.816809e-13,6.3132624e-08,4.515517e-09,9.778677e-10,1.4906970000000002e-07,1.1304379999999998e-12,0.0
E01004558,Wandsworth 015C,Wandsworth,0.0,5.0,6.0,0.0,14.0,3.0,26.0,0.0,1.0,8.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.005715174,0.0008233824,9.220886e-07,1.0,3.8553559999999997e-07,3.8131517e-07,2.4175182e-07,0.0
E01004559,Wandsworth 015D,Wandsworth,0.0,1.0,0.0,0.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004560,Wandsworth 001A,Wandsworth,0.0,4.0,8.0,2.0,2.0,3.0,50.0,11.0,18.0,15.0,11.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004562,Wandsworth 002B,Wandsworth,0.0,2.0,20.0,1.0,97.0,10.0,77.0,2.0,2.0,22.0,16.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.21357857,1.0,5.333829e-07,2.2140262999999999e-10,5.176090299999999e-06,2.1186434e-06,3.8073779999999995e-09,0.0
E01004563,Wandsworth 002C,Wandsworth,0.0,2.0,7.0,0.0,13.0,2.0,39.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.594573000000001e-21,1.0,3.5034486e-07,0.0,5.301512e-06,2.1081279e-17,1.4834496999999998e-21,2.0559829e-13
E01004564,Wandsworth 002D,Wandsworth,0.0,3.0,9.0,0.0,36.0,8.0,130.0,2.0,1.0,10.0,10.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.013569525,0.0015636126999999998,0.0,1.0,3.102053e-05,0.00021913201000000002,0.054050684,0.000271385
E01004565,Wandsworth 005A,Wandsworth,0.0,0.0,4.0,0.0,8.0,2.0,14.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
