code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb
E01033589,Redbridge 030H,Redbridge,0.0,4.0,25.0,3.0,47.0,5.0,98.0,11.0,2.0,7.0,5.0,98.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0
E01033591,Redbridge 030I,Redbridge,0.0,3.0,12.0,1.0,26.0,4.0,54.0,7.0,1.0,3.0,3.0,54.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0
E01033593,Westminster 015F,Westminster,1.0,2.0,8.0,1.0,1.0,2.0,20.0,5.0,0.0,9.0,7.0,20.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
E01033594,Westminster 015G,Westminster,53.0,4.0,62.0,0.0,41.0,8.0,111.0,5.0,6.0,5.0,5.0,111.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0
E01033595,Westminster 013E,Westminster,13.0,26.0,297.0,5.0,759.0,41.0,1431.0,59.0,96.0,64.0,44.0,1431.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0
E01033596,Westminster 013F,Westminster,3.0,9.0,108.0,1.0,157.0,0.0,298.0,31.0,19.0,6.0,4.0,298.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0
E01033597,Westminster 023F,Westminster,0.0,5.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,8.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01033598,Westminster 009F,Westminster,0.0,3.0,2.0,0.0,2.0,2.0,12.0,0.0,2.0,1.0,1.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033599,Westminster 023G,Westminster,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033600,Westminster 007F,Westminster,1.0,1.0,9.0,0.0,4.0,0.0,22.0,3.0,2.0,2.0,2.0,22.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
E01033601,Westminster 009G,Westminster,0.0,2.0,2.0,0.0,21.0,1.0,13.0,0.0,2.0,11.0,7.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033602,Westminster 009H,Westminster,0.0,2.0,9.0,0.0,37.0,1.0,14.0,4.0,6.0,1.0,1.0,14.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
E01033603,Westminster 009I,Westminster,1.0,1.0,9.0,0.0,4.0,0.0,22.0,1.0,0.0,5.0,3.0,22.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
E01033604,Westminster 009J,Westminster,2.0,3.0,26.0,2.0,44.0,5.0,54.0,3.0,3.0,13.0,11.0,54.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E01033605,Westminster 009K,Westminster,0.0,0.0,4.0,2.0,9.0,0.0,13.0,0.0,4.0,5.0,5.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
E01033606,Westminster 014F,Westminster,0.0,0.0,3.0,0.0,2.0,2.0,7.0,0.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033607,Westminster 014G,Westminster,0.0,1.0,6.0,0.0,5.0,0.0,11.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033608,Westminster 007G,Westminster,0.0,2.0,3.0,0.0,3.0,1.0,12.0,2.0,0.0,7.0,5.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01033698,Hackney 021F,Hackney,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033699,Hackney 021G,Hackney,1.0,3.0,36.0,2.0,57.0,7.0,98.0,16.0,0.0,10.0,8.0,98.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0
E01033700,Hackney 021H,Hackney,2.0,7.0,32.0,0.0,24.0,8.0,73.0,10.0,2.0,24.0,14.0,73.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0
E01033701,Hackney 002F,Hackney,0.0,3.0,4.0,0.0,7.0,7.0,28.0,2.0,1.0,14.0,8.0,28.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01033702,Hackney 028C,Hackney,0.0,3.0,0.0,0.0,18.0,4.0,29.0,0.0,0.0,2.0,2.0,29.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
E01033703,Hackney 010F,Hackney,0.0,1.0,8.0,0.0,7.0,2.0,15.0,3.0,1.0,2.0,2.0,15.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01033704,Hackney 023F,Hackney,0.0,5.0,24.0,0.0,25.0,7.0,102.0,12.0,5.0,14.0,12.0,102.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0
E01033705,Hackney 028D,Hackney,0.0,1.0,1.0,0.0,2.0,5.0,9.0,6.0,0.0,3.0,3.0,9.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01033706,Hackney 027F,Hackney,5.0,9.0,72.0,0.0,48.0,13.0,223.0,20.0,6.0,30.0,24.0,223.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0
E01033707,Hackney 021I,Hackney,0.0,0.0,15.0,0.0,17.0,5.0,40.0,2.0,4.0,7.0,5.0,40.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
E01033708,Hackney 027G,Hackney,7.0,38.0,178.0,5.0,139.0,16.0,800.0,44.0,15.0,52.0,36.0,800.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0
E01033709,Hackney 027H,Hackney,0.0,2.0,4.0,0.0,8.0,2.0,34.0,3.0,1.0,10.0,10.0,34.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01033711,Hackney 027I,Hackney,4.0,8.0,10.0,0.0,16.0,5.0,88.0,1.0,0.0,6.0,6.0,88.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
E01033712,Hackney 023G,Hackney,0.0,3.0,30.0,0.0,46.0,7.0,72.0,6.0,4.0,8.0,6.0,72.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
E01033713,Hackney 010G,Hackney,0.0,2.0,4.0,0.0,5.0,2.0,13.0,2.0,2.0,19.0,9.0,13.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01033724,Hillingdon 016F,Hillingdon,3.0,2.0,8.0,1.0,17.0,10.0,96.0,2.0,2.0,8.0,8.0,96.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0
E01033725,Hillingdon 015F,Hillingdon,1.0,4.0,4.0,1.0,6.0,8.0,61.0,11.0,5.0,2.0,2.0,61.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0
E01033726,Greenwich 034E,Greenwich,0.0,6.0,6.0,2.0,8.0,24.0,21.0,6.0,12.0,22.0,22.0,21.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0
