code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01002317,Havering 014C,Havering,0.0,0.0,0.0,0.0,2.0,4.0,9.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,9.01e-43,1.0,0.61793804,2.9718568e-14,5.4091695999999995e-20,3.5048e-15,1.5591856e-23,8.431283e-31,3.0331923999999997e-30,0.0,9.507969999999999e-39,0.0,0.0
E01002318,Havering 014D,Havering,0.0,3.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.82e-42
E01002319,Havering 016A,Havering,0.0,1.0,9.0,0.0,19.0,6.0,34.0,1.0,1.0,12.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014256824,0.31310594,3.6652462999999997e-13,0.0,0.00937174,1.8848823000000001e-06,3.4159329e-09,0.021924816,3.9629118e-13,0.027590117999999997,0.23586285,0.031018657999999998
E01002320,Havering 021A,Havering,0.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.069076054,0.0,2.468274e-07,7.103630999999999e-25,0.14057925,0.018009266,0.00015811474,0.004080541,0.066224426,1.7953255e-17,0.04531219,1.0,0.009448939
E01002321,Havering 021B,Havering,0.0,6.0,10.0,1.0,27.0,4.0,46.0,7.0,5.0,5.0,5.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.4144603000000002e-12,6.680844e-11,0.0140576465,3.3269811e-09,0.030784522999999998,0.03472552,0.23864473,0.079997085,8.312197e-10,1.0,0.0,1.1995108999999999e-17,1.1590764999999998e-24
E01002322,Havering 021C,Havering,0.0,3.0,0.0,0.0,4.0,4.0,15.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.7360839999999997e-37,1.03e-42,1.0,1.1291514999999999e-24,1.5287617999999998e-27,1.1627452e-14,0.0,4.8134175e-34,0.0,2.2679146999999997e-33,3.42732e-39,0.44552848,5.9757962e-12
E01002325,Havering 011C,Havering,0.0,4.0,2.0,0.0,6.0,11.0,14.0,2.0,3.0,6.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0455089e-36,0.71298635,0.0,7.373776e-19,2.3351615999999997e-19,0.0,1.9739491000000002e-16,2.8845467e-34,3.0489329999999996e-34,1.0,3.914962e-28,9.204006999999999e-39,0.12594123
E01002326,Havering 005D,Havering,0.0,4.0,16.0,0.0,27.0,6.0,55.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.32047647,9.896469999999999e-22,5.5023890000000004e-11,0.0,3.1374827e-09,3.0694554e-08,0.28512922,1.26106e-09,0.0047098673,1.2377148e-15,7.0480655e-06,1.0,0.23426473
E01002327,Havering 009A,Havering,0.0,0.0,1.0,0.0,2.0,2.0,11.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002328,Havering 009B,Havering,0.0,0.0,1.0,0.0,4.0,2.0,27.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.82e-42
