code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004306,Tower Hamlets 015A,Tower Hamlets,1.0,5.0,46.0,0.0,56.0,0.0,115.0,7.0,9.0,4.0,4.0,115.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,7.982386e-06,0.0,0.00070902007,0.7193415,0.24599542,1.0,4.9462190000000004e-08,0.0014816675
E01004307,Tower Hamlets 015B,Tower Hamlets,3.0,10.0,111.0,0.0,121.0,7.0,210.0,13.0,14.0,18.0,18.0,210.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,0.9912525,0.0010157217999999999,0.0009713578999999999,1.0,0.0115104,0.0,0.5127214,0.036497302
E01004308,Tower Hamlets 015C,Tower Hamlets,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,3.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004309,Tower Hamlets 015D,Tower Hamlets,3.0,11.0,36.0,1.0,51.0,10.0,141.0,8.0,7.0,21.0,15.0,141.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.023948e-07,2.6361426000000003e-05,3.7191452999999997e-06,8.66588e-05,0.0,1.0336238e-06,1.8179130999999998e-07
E01004310,Tower Hamlets 015E,Tower Hamlets,2.0,8.0,39.0,0.0,57.0,2.0,95.0,7.0,6.0,19.0,13.0,95.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.030262705,1.0,0.050953227999999996,0.001861711,0.00027690915,0.18374987,0.0,0.5878708
E01004311,Tower Hamlets 006A,Tower Hamlets,0.0,3.0,3.0,0.0,4.0,2.0,16.0,1.0,3.0,4.0,4.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.098478e-08,4.733452e-08,0.0,0.016849538,2.1012471e-10,1.0,7.508819e-07,0.0007368043
E01004312,Tower Hamlets 009A,Tower Hamlets,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.9856015999999998e-05,4.2017879999999995e-05,4.1072503e-06,8.8039495e-05,0.0,1.1257978e-06,3.432107e-07
E01004313,Tower Hamlets 009B,Tower Hamlets,0.0,1.0,16.0,0.0,41.0,3.0,44.0,1.0,1.0,9.0,9.0,44.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.8620581000000002e-06,1.0,5.5470627999999994e-05,0.0012879407,0.26363003,7.620431e-08,1.0004449e-06
E01004314,Tower Hamlets 006B,Tower Hamlets,0.0,3.0,10.0,0.0,23.0,0.0,19.0,3.0,2.0,0.0,0.0,19.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004315,Tower Hamlets 006C,Tower Hamlets,1.0,4.0,9.0,0.0,28.0,0.0,46.0,1.0,4.0,6.0,2.0,46.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0076941380000000005,7.4748976e-05,4.2472992999999996e-06,8.958156e-05,0.0,1.1539627e-06,5.667279e-07
E01004316,Tower Hamlets 009C,Tower Hamlets,0.0,0.0,2.0,0.0,23.0,0.0,18.0,0.0,3.0,0.0,0.0,18.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004317,Tower Hamlets 009D,Tower Hamlets,0.0,6.0,47.0,1.0,93.0,4.0,101.0,11.0,6.0,18.0,18.0,101.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0027315968,1.5953685000000002e-05,3.9728707000000006e-06,5.1696733999999995e-05,0.0,0.9728448000000001,0.17370917
